probe,F,symbol,known
11717970_at,8.022221749207016,FAM20B,False
11747476_x_at,8.015994261030782,SPIDR,False
11719592_at,8.012569119774184,GLTP,False
11728206_a_at,8.012315428592418,FAM120A,False
11757261_at,8.009295683526394,SCARNA14,False
11723630_a_at,8.008935083660669,CRYBG3,False
11758318_s_at,8.000221618590304,CSTB,False
11759039_at,7.99774468646382,SVIP,False
11718896_x_at,7.984830311437257,SPAG9,False
11734498_a_at,7.980034652934407,SNX22,False
11729402_at,7.979356502529866,ZNF285,False
11724385_a_at,7.978299310649993,HYLS1,False
11723115_s_at,7.972424555052231,MTX3,False
11745981_a_at,7.964654886804779,GRAMD1C,False
11762614_at,7.96447849079129,TRIM63,False
11730288_at,7.957982346880718,ARHGAP5,False
11729956_a_at,7.954005468522384,KNG1,False
11754942_x_at,7.953558869575407,C17orf62,False
11726934_x_at,7.948439293699914,SOX12,False
11749713_a_at,7.937115574664649,KBTBD6,False
11739696_s_at,7.935667621154658,AFF3,False
11752509_s_at,7.930447199317203,PSAP,False
11756064_x_at,7.927524935983241,CBWD1,False
11724809_at,7.926873108235261,CBL,False
11762183_at,7.925866263661506,CR1,False
11761390_a_at,7.923412482632228,ANKRD10,False
11739214_at,7.918307342553168,SLC25A23,False
11732726_x_at,7.905290082502918,PIGW,False
11715110_at,7.902602424446402,ARRDC5,False
11729242_at,7.886172491698521,FBN2,False
11743040_x_at,7.885754934771175,CRTAP,False
11717815_at,7.884277135268253,ZBTB5,False
11719624_a_at,7.883336469348374,PLEKHM1,False
11727248_a_at,7.873458730764887,MYH3,False
11745311_a_at,7.870459143972143,SH3GLB2,False
11758119_s_at,7.865696345792563,TMEM41B,False
11741066_a_at,7.860702055734191,SUMF2,False
11751249_a_at,7.860569354048062,SPATA20,False
11758027_s_at,7.859377063164848,HOOK1,False
11723664_a_at,7.858903541700559,SREBF2,False
11761303_a_at,7.852014966169267,POLR1C,False
11729160_x_at,7.850984281742917,UCP2,False
11763255_x_at,7.841980919421463,IGLJ3,False
11751506_a_at,7.839439094938286,ZNF471,False
11744264_a_at,7.837513922803717,SEC11C,False
11746299_a_at,7.834709258583882,CNTLN,False
11728901_a_at,7.8339827830420905,DAPP1,False
11735813_a_at,7.821734864674796,C8orf59,False
11719784_x_at,7.817392966549522,RPS23,False
11734827_at,7.815174599803781,SPRED1,False
11752426_a_at,7.813480785757933,CAMTA1,False
11739733_a_at,7.8088393181749,CPEB4,False
11732915_a_at,7.806264374380369,KCNT2,False
11723911_a_at,7.805763109774943,GAB3,False
11721577_at,7.790714089233088,TNF,True
11735361_x_at,7.774811923145271,FCRL2,False
11750531_a_at,7.767537659055933,PYCARD,False
11724033_s_at,7.766472884842375,CD2AP,False
11740974_a_at,7.761414670846925,CYFIP1,False
11752577_at,7.757213216324116,FTH1,False
11727285_at,7.753824094350238,HSF5,False
11716800_at,7.746386377444515,FADD,False
11715501_s_at,7.743686632117661,IGFBP7,False
11725286_s_at,7.738149640210114,ANKS6,False
11715543_x_at,7.730729421886368,RPS8,False
11720921_s_at,7.729140979768364,ACAA1,False
11715495_a_at,7.716852272854492,RPS25,False
11721093_a_at,7.7088028137173366,THBS1,False
11720498_at,7.7062179299329046,CDC42EP3,False
11736916_a_at,7.705955955909408,C17orf58,False
11717058_x_at,7.705722193228505,RPL5,False
11728587_a_at,7.700010089349575,PARD6B,False
11738183_a_at,7.698493337195084,NLRP3,False
11763897_at,7.694958254774222,SNORA77,False
11739080_s_at,7.692743648734972,DNAJB4,False
11759746_a_at,7.689931762486051,ARHGEF28,False
11734295_x_at,7.688217929993458,ZNF772,False
11733739_a_at,7.6874592860973685,B3GNTL1,False
11763304_at,7.683750391126829,TJP2,False
11756952_a_at,7.683570247298125,TKT,False
11751380_x_at,7.683186946335983,BEST1,False
11728009_at,7.682614523242665,VPREB3,False
11729711_at,7.6819285063104985,MARS2,False
11759564_x_at,7.680266359949106,RPS2,False
11731661_s_at,7.679560225229447,DBP,False
